countyicp,sex,age,marst,race,bpl,hcovany,hcovpriv,educ,incwage,incbus00,work_income
0,male,55,"married, spouse present",white,maine,coverage,private coverage,grade 12,15101,0,15101
0,female,65,"married, spouse present",white,maine,coverage,private coverage,grade 12,26967,0,26967
190,female,59,divorced,white,maine,coverage,private coverage,2 years of college,37753,0,37753
0,male,57,"married, spouse present",white,out of state,no coverage,no private coverage,grade 9,7443,0,7443
0,female,52,"married, spouse present",white,maine,no coverage,no private coverage,1 year of college,13591,0,13591
0,female,75,widowed,white,out of state,coverage,private coverage,grade 12,3452,0,3452
0,male,31,"single, never married",white,maine,no coverage,no private coverage,1 year of college,32899,0,32899
0,female,52,widowed,white,maine,coverage,private coverage,1 year of college,0,19200,19200
0,female,27,"married, spouse present",white,out of state,coverage,private coverage,grade 12,30203,0,30203
0,male,42,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,197396,197396
0,female,50,separated,white,maine,coverage,no private coverage,grade 12,16180,0,16180
10,female,49,"married, spouse present",white,maine,coverage,private coverage,1 year of college,53933,0,53933
10,male,52,"married, spouse present",white,maine,coverage,private coverage,grade 12,12944,0,12944
0,male,46,"married, spouse present",white,out of state,no coverage,no private coverage,grade 12,26967,0,26967
0,female,39,"married, spouse present",white,out of state,no coverage,no private coverage,grade 12,10787,0,10787
0,female,21,"single, never married",white,out of state,coverage,private coverage,1 year of college,4099,0,4099
0,female,62,widowed,white,maine,coverage,private coverage,4 years of college,86293,0,86293
0,male,58,"married, spouse present",white,out of state,no coverage,no private coverage,2 years of college,0,11434,11434
0,female,58,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,9708,0,9708
0,female,42,divorced,white,maine,no coverage,no private coverage,2 years of college,6472,0,6472
0,male,48,"married, spouse present",white,maine,coverage,private coverage,N/A or no schooling,51452,0,51452
0,female,54,"married, spouse present",white,maine,coverage,private coverage,grade 12,32791,0,32791
0,male,24,"single, never married",Other Asian,maine,coverage,no private coverage,1 year of college,0,12944,12944
0,female,48,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,0,1294,1294
0,male,49,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,353802,0,353802
0,male,19,"single, never married",biracial,out of state,coverage,no private coverage,grade 12,4854,0,4854
0,male,25,"single, never married",white,maine,coverage,private coverage,grade 12,80900,0,80900
0,female,53,"single, never married",white,maine,coverage,private coverage,grade 12,39911,0,39911
0,female,59,widowed,white,out of state,coverage,private coverage,5+ years of college,53933,0,53933
0,male,63,"single, never married",white,maine,coverage,private coverage,grade 12,0,9816,9816
0,male,19,"single, never married",white,out of state,coverage,private coverage,grade 12,7011,0,7011
0,female,78,widowed,white,maine,coverage,no private coverage,grade 12,5178,0,5178
0,female,42,divorced,white,maine,coverage,private coverage,5+ years of college,53933,12944,66877
0,male,68,"married, spouse present",white,maine,coverage,private coverage,grade 12,62563,0,62563
0,male,27,"married, spouse present",white,maine,coverage,private coverage,grade 12,43147,0,43147
0,female,26,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,48540,0,48540
0,male,42,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,97080,0,97080
0,male,59,"married, spouse present",white,out of state,coverage,private coverage,grade 12,51776,0,51776
0,female,54,"married, spouse present",white,maine,coverage,private coverage,4 years of college,46383,0,46383
110,female,36,"married, spouse present",white,maine,coverage,private coverage,2 years of college,36243,0,36243
110,male,42,"married, spouse present",white,maine,coverage,private coverage,grade 12,49619,0,49619
0,female,55,divorced,white,maine,coverage,private coverage,grade 12,32360,0,32360
190,female,54,divorced,white,maine,coverage,private coverage,2 years of college,53933,0,53933
190,female,25,"single, never married",white,maine,coverage,private coverage,1 year of college,18337,0,18337
0,male,46,"single, never married",white,maine,coverage,private coverage,4 years of college,33439,0,33439
0,female,56,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,75507,0,75507
0,male,47,"single, never married",white,out of state,coverage,private coverage,4 years of college,59327,0,59327
190,male,28,"married, spouse present",white,out of state,coverage,no private coverage,2 years of college,15101,0,15101
190,female,24,"married, spouse present",white,maine,coverage,no private coverage,1 year of college,9169,0,9169
110,male,58,"married, spouse absent",white,out of state,coverage,private coverage,4 years of college,0,7551,7551
0,female,37,"married, spouse present",white,maine,coverage,private coverage,4 years of college,431,0,431
0,male,36,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,21573,5393,26966
0,female,46,divorced,white,out of state,coverage,private coverage,4 years of college,0,53933,53933
0,female,18,"single, never married",white,out of state,coverage,private coverage,grade 12,140,0,140
110,female,46,divorced,white,out of state,coverage,private coverage,2 years of college,53933,0,53933
110,male,58,divorced,white,out of state,coverage,private coverage,2 years of college,2697,0,2697
0,male,50,"married, spouse present",white,maine,coverage,private coverage,grade 12,78743,0,78743
0,male,22,"single, never married",white,maine,coverage,private coverage,1 year of college,23731,0,23731
0,male,19,"single, never married",white,maine,coverage,private coverage,1 year of college,4854,0,4854
190,male,37,divorced,white,maine,coverage,private coverage,grade 12,64720,0,64720
190,female,42,divorced,white,maine,coverage,private coverage,2 years of college,48540,0,48540
0,male,65,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,70113,0,70113
0,female,60,"married, spouse present",white,out of state,coverage,private coverage,grade 12,33870,0,33870
0,female,35,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,107866,0,107866
0,female,53,"married, spouse present",white,maine,coverage,private coverage,4 years of college,49619,0,49619
0,male,54,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,58248,0,58248
0,female,27,"single, never married",white,maine,coverage,private coverage,2 years of college,21573,0,21573
0,female,52,"single, never married",white,out of state,coverage,private coverage,4 years of college,49619,0,49619
0,male,58,divorced,white,out of state,coverage,private coverage,2 years of college,19416,-5933,13483
0,female,35,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,59327,0,59327
0,male,34,"married, spouse present",white,maine,coverage,private coverage,4 years of college,97080,0,97080
0,male,61,divorced,white,out of state,coverage,private coverage,4 years of college,0,16180,16180
0,female,57,divorced,white,out of state,coverage,no private coverage,grade 11,19416,0,19416
0,male,46,"single, never married",white,maine,coverage,private coverage,grade 12,34409,0,34409
0,male,19,"single, never married",white,out of state,coverage,private coverage,1 year of college,2157,0,2157
0,male,66,widowed,white,out of state,coverage,no private coverage,grade 12,17259,0,17259
0,female,54,"married, spouse present",white,maine,coverage,private coverage,4 years of college,49619,0,49619
10,male,58,"married, spouse present",white,maine,coverage,private coverage,grade 12,75507,0,75507
10,male,22,"single, never married",white,out of state,coverage,private coverage,grade 12,21573,0,21573
110,female,33,"married, spouse present",white,maine,coverage,private coverage,4 years of college,43147,0,43147
110,male,36,"married, spouse present",white,maine,coverage,private coverage,2 years of college,43147,0,43147
0,female,25,"single, never married",white,out of state,coverage,private coverage,5+ years of college,45304,0,45304
0,male,25,"single, never married",white,out of state,coverage,private coverage,grade 12,56091,0,56091
0,female,59,divorced,white,maine,coverage,private coverage,grade 12,88450,0,88450
0,female,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,64720,0,64720
0,male,35,"married, spouse present",white,maine,coverage,private coverage,4 years of college,32360,5393,37753
190,male,47,widowed,white,maine,coverage,private coverage,grade 12,70113,0,70113
190,female,21,"single, never married",white,maine,coverage,private coverage,1 year of college,4530,0,4530
190,female,18,"single, never married",white,maine,coverage,private coverage,grade 12,647,0,647
190,female,46,divorced,white,maine,coverage,private coverage,4 years of college,26967,0,26967
0,female,45,"single, never married",white,out of state,coverage,private coverage,4 years of college,56091,0,56091
110,male,54,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,80900,0,80900
110,male,49,"married, spouse present",white,out of state,coverage,private coverage,grade 12,0,-5933,-5933
110,female,45,"married, spouse present",white,out of state,coverage,private coverage,grade 12,48540,0,48540
0,male,49,"single, never married",white,out of state,coverage,no private coverage,4 years of college,19416,0,19416
0,male,30,"married, spouse present",white,maine,coverage,private coverage,grade 12,12836,0,12836
0,female,29,"married, spouse present",white,maine,coverage,private coverage,grade 12,21573,0,21573
0,male,59,divorced,white,maine,coverage,private coverage,grade 12,75507,0,75507
190,female,30,"married, spouse present",white,maine,coverage,private coverage,1 year of college,40989,0,40989
190,male,41,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,51776,0,51776
0,female,19,"single, never married",white,maine,coverage,private coverage,grade 12,6472,0,6472
0,male,22,"single, never married",white,out of state,coverage,private coverage,4 years of college,7551,0,7551
0,male,60,divorced,white,maine,coverage,private coverage,grade 12,70113,0,70113
0,female,61,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,52855,0,52855
0,male,65,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,197396,197396
10,male,65,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,12944,12944
10,female,65,"married, spouse present",white,maine,coverage,no private coverage,grade 12,40342,0,40342
190,male,18,"single, never married",white,out of state,coverage,private coverage,grade 12,2697,0,2697
110,female,43,"married, spouse present",white,maine,coverage,private coverage,2 years of college,57169,0,57169
110,male,45,"married, spouse present",white,maine,coverage,private coverage,1 year of college,118653,0,118653
110,male,18,"single, never married",white,maine,coverage,private coverage,grade 12,647,0,647
0,male,62,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,19416,0,19416
0,female,60,"married, spouse present",white,maine,no coverage,no private coverage,2 years of college,34517,0,34517
0,female,41,"married, spouse present",white,maine,coverage,private coverage,4 years of college,97080,0,97080
0,male,43,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,21573,21573
0,female,19,"single, never married",white,maine,coverage,private coverage,grade 12,15101,0,15101
0,male,44,divorced,white,maine,no coverage,no private coverage,grade 12,6041,0,6041
0,female,37,divorced,white,maine,coverage,private coverage,grade 12,36675,0,36675
0,female,22,"single, never married",white,out of state,coverage,private coverage,1 year of college,3452,0,3452
190,male,43,"married, spouse present",white,maine,coverage,private coverage,4 years of college,36675,0,36675
190,female,37,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,48540,0,48540
0,male,44,"single, never married",white,maine,coverage,private coverage,grade 12,30203,0,30203
0,female,19,"single, never married",white,maine,coverage,private coverage,grade 12,6041,0,6041
0,male,18,"single, never married",white,out of state,coverage,private coverage,grade 12,3775,0,3775
190,male,60,separated,white,maine,no coverage,no private coverage,grade 12,33439,0,33439
190,female,52,divorced,white,maine,coverage,private coverage,2 years of college,32360,0,32360
0,male,66,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,0,1079,1079
190,female,62,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,91686,0,91686
190,male,66,"married, spouse present",white,maine,coverage,private coverage,1 year of college,0,25888,25888
0,male,42,"single, never married",white,out of state,coverage,private coverage,4 years of college,32360,0,32360
0,female,55,"married, spouse present",white,maine,coverage,private coverage,grade 12,46383,0,46383
0,male,55,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,0,31281,31281
0,male,52,"married, spouse present",white,maine,coverage,private coverage,4 years of college,107866,0,107866
0,female,50,"married, spouse present",white,maine,coverage,private coverage,4 years of college,21573,0,21573
0,female,22,"single, never married",white,out of state,coverage,private coverage,4 years of college,1079,0,1079
0,male,45,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,48540,0,48540
0,female,34,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,0,3344,3344
0,female,66,separated,white,out of state,coverage,no private coverage,2 years of college,51776,0,51776
0,male,69,divorced,white,out of state,coverage,no private coverage,5+ years of college,0,20710,20710
0,female,64,divorced,white,out of state,coverage,private coverage,grade 12,74428,0,74428
0,male,41,"married, spouse present",chinese,out of state,coverage,private coverage,grade 12,25996,0,25996
0,female,40,"married, spouse present",chinese,out of state,coverage,private coverage,1 year of college,17043,0,17043
190,male,63,"single, never married",white,maine,coverage,private coverage,grade 9,18445,0,18445
0,female,59,widowed,white,out of state,coverage,private coverage,grade 12,21573,0,21573
0,male,59,divorced,white,out of state,coverage,private coverage,grade 12,32360,0,32360
190,male,36,"married, spouse present",white,maine,coverage,private coverage,1 year of college,53933,0,53933
190,female,67,divorced,white,out of state,coverage,private coverage,grade 12,39156,0,39156
190,male,34,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,19308,19308
0,male,45,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,102473,0,102473
0,female,46,"married, spouse present",white,maine,coverage,private coverage,2 years of college,64720,0,64720
0,male,20,"single, never married",white,maine,coverage,private coverage,grade 12,26967,0,26967
0,female,20,"single, never married",white,maine,coverage,private coverage,1 year of college,539,0,539
0,male,54,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,197396,-5933,191463
0,male,49,"married, spouse present",white,maine,coverage,private coverage,1 year of college,34517,0,34517
0,female,49,"married, spouse present",white,maine,coverage,private coverage,2 years of college,5393,0,5393
0,male,29,"single, never married",white,maine,no coverage,no private coverage,grade 12,6472,0,6472
110,female,54,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,97080,0,97080
110,male,60,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,21573,0,21573
0,male,65,"married, spouse present",white,maine,coverage,private coverage,grade 12,23731,0,23731
0,female,56,"married, spouse present",white,maine,coverage,private coverage,grade 12,38832,0,38832
0,male,64,"married, spouse present",white,maine,coverage,private coverage,1 year of college,64720,0,64720
0,female,67,"married, spouse present",white,out of state,coverage,no private coverage,grade 12,24809,0,24809
0,female,27,"single, never married",white,out of state,coverage,private coverage,5+ years of college,21573,10787,32360
0,male,28,"single, never married",white,out of state,coverage,private coverage,4 years of college,16180,0,16180
0,female,76,"married, spouse present",white,maine,coverage,private coverage,grade 10,3991,0,3991
190,male,38,"married, spouse present",white,maine,coverage,private coverage,1 year of college,26967,0,26967
190,female,36,"married, spouse present",white,maine,coverage,private coverage,4 years of college,26967,0,26967
0,male,48,"single, never married",biracial,out of state,no coverage,no private coverage,grade 12,1079,0,1079
0,female,34,divorced,biracial,out of state,coverage,private coverage,4 years of college,46383,0,46383
110,male,47,"married, spouse present",white,maine,coverage,private coverage,grade 12,43147,-5933,37214
0,male,46,divorced,white,maine,coverage,private coverage,grade 12,46922,0,46922
0,male,67,"married, spouse present",white,out of state,coverage,no private coverage,5+ years of college,64720,0,64720
110,female,46,"married, spouse present",white,maine,coverage,private coverage,4 years of college,23731,0,23731
110,male,46,"married, spouse present",white,maine,coverage,private coverage,4 years of college,49187,0,49187
0,female,51,"married, spouse present",white,out of state,coverage,private coverage,grade 12,130518,0,130518
0,male,54,"married, spouse present",white,maine,coverage,private coverage,1 year of college,31281,0,31281
0,male,19,"single, never married",white,out of state,coverage,private coverage,grade 12,11326,0,11326
0,male,63,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,16935,0,16935
0,female,64,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,38832,0,38832
190,male,59,"married, spouse present",white,maine,coverage,private coverage,grade 12,34517,0,34517
190,female,53,"married, spouse present",native american,maine,coverage,private coverage,1 year of college,34517,0,34517
0,female,53,"married, spouse absent",white,out of state,no coverage,no private coverage,2 years of college,25025,0,25025
110,male,33,divorced,white,maine,coverage,private coverage,1 year of college,70113,0,70113
0,female,51,"married, spouse present",white,maine,coverage,private coverage,grade 12,20495,0,20495
0,male,48,"married, spouse present",white,maine,coverage,private coverage,2 years of college,6472,0,6472
0,male,51,divorced,white,maine,coverage,private coverage,grade 12,37753,16180,53933
0,female,47,divorced,white,out of state,coverage,private coverage,2 years of college,48540,0,48540
0,male,21,"single, never married",white,out of state,coverage,private coverage,2 years of college,12944,0,12944
0,male,57,divorced,white,out of state,coverage,private coverage,grade 12,86293,0,86293
110,female,28,divorced,white,out of state,coverage,no private coverage,2 years of college,20063,0,20063
0,female,73,widowed,white,maine,coverage,private coverage,1 year of college,324,0,324
190,female,33,"married, spouse present",white,maine,coverage,private coverage,2 years of college,32360,0,32360
190,male,33,"married, spouse present",white,maine,coverage,private coverage,2 years of college,32360,5393,37753
0,male,51,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,97080,0,97080
0,female,45,"married, spouse present",white,maine,coverage,private coverage,4 years of college,353802,0,353802
0,male,24,"single, never married",white,out of state,coverage,private coverage,4 years of college,49619,0,49619
110,female,22,"single, never married",white,out of state,coverage,private coverage,4 years of college,23623,0,23623
0,male,35,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,129440,0,129440
0,female,37,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,151013,0,151013
0,female,59,"married, spouse present",white,out of state,coverage,private coverage,grade 12,105709,0,105709
0,male,59,"married, spouse present",white,out of state,coverage,private coverage,grade 12,93844,0,93844
0,male,60,"married, spouse present",white,maine,coverage,private coverage,2 years of college,0,53933,53933
0,male,34,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,48540,0,48540
0,female,35,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,24809,0,24809
10,male,52,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,60405,0,60405
10,female,47,"married, spouse present",white,maine,coverage,private coverage,1 year of college,26967,0,26967
190,male,55,"married, spouse present",white,out of state,coverage,private coverage,grade 12,46383,0,46383
110,male,53,"married, spouse present",white,maine,coverage,private coverage,2 years of college,53933,0,53933
110,female,49,"married, spouse present",white,maine,coverage,private coverage,4 years of college,32360,0,32360
110,female,22,"single, never married",white,maine,coverage,private coverage,1 year of college,10787,0,10787
110,male,18,"single, never married",white,maine,coverage,private coverage,1 year of college,54,0,54
0,female,67,divorced,white,maine,coverage,private coverage,grade 12,1834,0,1834
0,male,56,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,212497,0,212497
0,female,58,"married, spouse present",white,maine,coverage,private coverage,4 years of college,46383,0,46383
190,female,52,divorced,white,maine,no coverage,no private coverage,grade 12,21573,0,21573
190,male,57,"single, never married",white,maine,no coverage,no private coverage,1 year of college,0,30203,30203
0,male,39,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,21573,0,21573
0,female,39,"married, spouse present",white,maine,coverage,private coverage,4 years of college,38832,0,38832
190,male,47,"married, spouse present",white,out of state,coverage,private coverage,grade 12,64720,0,64720
190,female,46,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,20495,20495
190,male,23,"single, never married",white,maine,coverage,private coverage,grade 12,40989,0,40989
0,female,57,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,15641,0,15641
0,male,60,"married, spouse present",white,out of state,coverage,private coverage,grade 12,51776,0,51776
0,female,44,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,353802,0,353802
0,male,46,"married, spouse present",white,maine,coverage,private coverage,4 years of college,107866,0,107866
0,male,67,"married, spouse present",white,out of state,coverage,no private coverage,grade 12,6472,0,6472
0,female,60,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,38832,0,38832
0,male,35,"single, never married",white,out of state,coverage,private coverage,1 year of college,0,647,647
190,female,47,"married, spouse present",white,out of state,coverage,private coverage,grade 12,0,8629,8629
190,male,55,"married, spouse present",white,maine,coverage,private coverage,1 year of college,22652,0,22652
190,male,42,"married, spouse present",white,maine,no coverage,no private coverage,grades 5-8,1510,0,1510
190,female,43,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,21573,0,21573
190,female,70,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,16827,0,16827
0,male,33,divorced,white,maine,coverage,private coverage,2 years of college,60405,0,60405
190,male,47,"married, spouse present",white,maine,coverage,private coverage,grade 12,107866,0,107866
190,female,43,"married, spouse present",white,maine,coverage,private coverage,4 years of college,11865,54,11919
190,male,24,"married, spouse present",white,maine,coverage,private coverage,grade 12,35596,0,35596
0,female,48,"married, spouse present",black,out of state,coverage,no private coverage,4 years of college,17906,0,17906
0,male,55,"married, spouse present",black,out of state,coverage,no private coverage,4 years of college,13483,0,13483
0,female,57,divorced,white,out of state,coverage,private coverage,5+ years of college,66877,0,66877
0,male,55,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,62563,16180,78743
0,female,49,"married, spouse present",white,maine,coverage,private coverage,1 year of college,27506,0,27506
190,female,34,"single, never married",biracial,out of state,coverage,private coverage,4 years of college,70113,0,70113
0,male,62,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,353802,0,353802
0,female,63,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,19416,0,19416
190,female,69,widowed,white,maine,coverage,private coverage,grade 12,0,26967,26967
0,male,19,"single, never married",white,out of state,coverage,private coverage,1 year of college,1942,0,1942
0,male,25,"married, spouse present",white,maine,no coverage,no private coverage,grade 12,30203,0,30203
0,female,24,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,32360,0,32360
0,male,62,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,5393,5393
0,female,61,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,56091,0,56091
0,female,29,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,23731,0,23731
0,male,30,"married, spouse present",white,maine,coverage,private coverage,2 years of college,80900,0,80900
0,male,60,"married, spouse present",white,maine,coverage,private coverage,2 years of college,353802,0,353802
190,male,51,"married, spouse present",white,maine,coverage,private coverage,grade 12,83057,0,83057
190,female,49,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,18661,18661
0,female,51,"married, spouse present",white,out of state,coverage,private coverage,grade 12,23731,0,23731
0,male,59,"married, spouse present",white,maine,coverage,private coverage,grade 12,0,5393,5393
0,male,58,"single, never married",white,out of state,coverage,private coverage,grade 12,0,16180,16180
0,female,63,"single, never married",white,out of state,coverage,private coverage,4 years of college,0,6472,6472
0,female,45,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,353802,0,353802
10,male,38,divorced,white,maine,coverage,private coverage,1 year of college,56091,0,56091
10,female,29,"single, never married",white,maine,coverage,private coverage,2 years of college,53933,0,53933
0,female,62,"single, never married",white,maine,coverage,private coverage,4 years of college,72271,0,72271
0,male,63,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,140226,0,140226
0,female,32,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,21897,0,21897
0,female,27,"married, spouse present",white,out of state,coverage,private coverage,1 year of college,17259,0,17259
0,male,63,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,102473,0,102473
0,female,59,"married, spouse present",white,maine,coverage,private coverage,grade 12,39371,0,39371
0,female,63,"married, spouse present",white,maine,coverage,private coverage,grade 12,24809,0,24809
0,male,57,"married, spouse present",white,maine,coverage,private coverage,grade 12,5393,0,5393
0,female,56,"married, spouse present",white,maine,coverage,private coverage,grade 12,26967,0,26967
0,female,35,"married, spouse present",white,maine,coverage,private coverage,grade 12,30203,0,30203
0,male,31,"married, spouse present",black,out of state,coverage,private coverage,4 years of college,48540,0,48540
0,male,20,"single, never married",white,maine,coverage,private coverage,1 year of college,3775,0,3775
0,male,52,divorced,white,out of state,coverage,private coverage,grade 12,0,43147,43147
0,male,52,"single, never married",white,maine,coverage,private coverage,grade 12,16180,0,16180
0,female,64,"married, spouse present",white,out of state,coverage,private coverage,grade 12,0,21681,21681
0,male,69,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,25241,0,25241
0,female,46,divorced,white,maine,coverage,private coverage,grade 12,64720,0,64720
0,female,21,"single, never married",white,out of state,coverage,private coverage,grade 12,30203,0,30203
0,male,48,divorced,white,out of state,coverage,private coverage,2 years of college,53933,0,53933
0,female,53,"single, never married",white,maine,coverage,private coverage,grade 12,45304,0,45304
190,male,35,divorced,white,out of state,coverage,no private coverage,grade 12,3236,0,3236
0,male,48,"married, spouse present",white,maine,coverage,private coverage,2 years of college,53933,0,53933
0,female,45,"married, spouse present",white,maine,coverage,private coverage,4 years of college,79821,0,79821
0,female,18,"single, never married",white,maine,coverage,private coverage,grade 11,658,0,658
0,male,46,divorced,white,maine,coverage,private coverage,5+ years of college,25888,0,25888
0,female,53,"married, spouse present",white,out of state,coverage,private coverage,2 years of college,60405,0,60405
0,male,24,"single, never married",white,maine,coverage,private coverage,grade 12,3452,0,3452
10,female,48,"married, spouse present",black,out of state,no coverage,no private coverage,N/A or no schooling,40989,0,40989
10,male,54,"married, spouse present",black,out of state,no coverage,no private coverage,grades 5-8,17259,0,17259
10,male,18,"single, never married",black,out of state,no coverage,no private coverage,grade 11,1187,0,1187
110,female,22,"single, never married",white,out of state,coverage,private coverage,grade 12,37753,0,37753
0,female,60,"married, spouse present",white,maine,coverage,private coverage,grade 12,37861,0,37861
110,female,20,"single, never married",white,out of state,coverage,private coverage,1 year of college,2157,0,2157
110,female,35,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,38832,0,38832
110,male,30,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,48540,0,48540
0,female,34,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,120810,0,120810
0,male,39,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,107866,0,107866
0,male,18,"single, never married",native american,out of state,no coverage,no private coverage,grade 12,10463,0,10463
0,male,33,"single, never married",white,maine,no coverage,no private coverage,grade 10,40989,0,40989
190,male,75,"married, spouse present",white,maine,coverage,private coverage,grade 12,539,0,539
0,male,44,"married, spouse present",white,maine,coverage,private coverage,5+ years of college,129440,0,129440
0,female,67,divorced,white,maine,coverage,private coverage,5+ years of college,57169,0,57169
0,male,55,"single, never married",white,maine,no coverage,no private coverage,grade 12,7011,0,7011
10,male,51,"single, never married",white,maine,coverage,no private coverage,grade 12,16180,0,16180
110,male,19,"single, never married",white,out of state,coverage,private coverage,grade 12,1942,0,1942
190,male,31,"single, never married",white,out of state,no coverage,no private coverage,1 year of college,0,25888,25888
0,male,88,"married, spouse present",white,maine,coverage,private coverage,grade 12,161800,0,161800
0,female,48,"married, spouse present",white,out of state,coverage,private coverage,grade 11,16180,0,16180
0,male,45,"single, never married",white,out of state,coverage,private coverage,grade 12,0,197396,197396
0,female,61,"married, spouse present",white,maine,coverage,private coverage,4 years of college,10787,0,10787
0,male,58,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,53933,0,53933
0,female,55,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,55012,0,55012
0,male,22,"single, never married",white,out of state,coverage,private coverage,1 year of college,10787,0,10787
0,male,59,divorced,white,out of state,coverage,private coverage,4 years of college,353802,0,353802
0,male,18,"single, never married",white,out of state,coverage,private coverage,grade 12,2697,0,2697
10,male,40,"married, spouse present",biracial,out of state,coverage,private coverage,1 year of college,48540,0,48540
10,female,38,"married, spouse present",biracial,out of state,coverage,private coverage,grade 12,21573,0,21573
10,female,18,"single, never married",biracial,out of state,coverage,private coverage,grade 11,6256,0,6256
0,male,78,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,12944,0,12944
0,male,76,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,45843,0,45843
0,female,18,"single, never married",white,maine,coverage,no private coverage,grade 12,324,0,324
0,male,27,divorced,white,maine,coverage,private coverage,grade 12,28585,0,28585
0,male,48,"single, never married",white,maine,coverage,private coverage,grade 12,25349,0,25349
0,female,42,"single, never married",white,out of state,no coverage,no private coverage,1 year of college,31281,0,31281
110,female,20,"single, never married",white,out of state,coverage,private coverage,1 year of college,2157,0,2157
0,female,53,"single, never married",white,maine,coverage,private coverage,5+ years of college,64720,0,64720
0,male,60,widowed,white,maine,coverage,private coverage,grade 12,11326,0,11326
0,female,41,"married, spouse present",white,out of state,coverage,no private coverage,4 years of college,25349,0,25349
0,male,39,"married, spouse present",white,maine,coverage,no private coverage,grade 12,0,43147,43147
10,male,20,"single, never married",white,out of state,coverage,private coverage,1 year of college,4315,0,4315
110,male,34,"married, spouse present",white,maine,coverage,private coverage,4 years of college,70113,0,70113
110,female,32,"married, spouse present",white,out of state,coverage,private coverage,5+ years of college,75507,0,75507
0,male,24,"single, never married",white,out of state,coverage,private coverage,4 years of college,10787,0,10787
0,female,31,"married, spouse present",white,out of state,coverage,private coverage,4 years of college,129440,0,129440
